date,home_team,away_team,home_win_pct,away_win_pct,win_pct_diff,home_avg_rs,away_avg_rs,home_avg_ra,away_avg_ra,run_diff_diff,park_factor,rest_diff,home_games,away_games,home_win
2026-03-26,St. Louis Cardinals,Tampa Bay Rays,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,99,0,0,0,1
2026-03-26,San Francisco Giants,New York Yankees,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,95,0,0,0,0
2026-03-26,San Diego Padres,Detroit Tigers,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,96,0,0,0,0
2026-03-26,Philadelphia Phillies,Texas Rangers,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,103,0,0,0,1
2026-03-26,New York Mets,Pittsburgh Pirates,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,100,0,0,0,1
2026-03-26,Milwaukee Brewers,Chicago White Sox,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,100,0,0,0,1
2026-03-26,Houston Astros,Los Angeles Angels,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,100,0,0,0,0
2026-03-26,Cincinnati Reds,Boston Red Sox,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,108,0,0,0,0
2026-03-26,Chicago Cubs,Washington Nationals,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,105,0,0,0,0
2026-03-26,Baltimore Orioles,Minnesota Twins,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,103,0,0,0,1
2026-03-27,Toronto Blue Jays,Athletics,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,102,0,0,0,1
2026-03-27,Seattle Mariners,Cleveland Guardians,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,97,0,0,0,0
2026-03-27,San Francisco Giants,New York Yankees,0.0,1.0,-1.0,0.0,7.0,7.0,0.0,-14.0,95,0,1,1,0
2026-03-27,Miami Marlins,Colorado Rockies,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,97,0,0,0,1
2026-03-27,Los Angeles Dodgers,Arizona Diamondbacks,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,98,0,0,0,1
2026-03-27,Atlanta Braves,Kansas City Royals,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,104,0,0,0,1
2026-03-28,Toronto Blue Jays,Athletics,1.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0,102,0,1,1,1
2026-03-28,St. Louis Cardinals,Tampa Bay Rays,1.0,0.0,1.0,9.0,7.0,7.0,9.0,4.0,99,0,1,1,1
2026-03-28,Seattle Mariners,Cleveland Guardians,0.0,1.0,-1.0,4.0,6.0,6.0,4.0,-4.0,97,0,1,1,1
2026-03-28,San Francisco Giants,New York Yankees,0.0,1.0,-1.0,0.0,5.0,5.0,0.0,-10.0,95,0,2,2,0
2026-03-28,San Diego Padres,Detroit Tigers,0.0,1.0,-1.0,2.0,8.0,8.0,2.0,-12.0,96,0,1,1,0
2026-03-28,Philadelphia Phillies,Texas Rangers,1.0,0.0,1.0,5.0,3.0,3.0,5.0,4.0,103,0,1,1,0
2026-03-28,New York Mets,Pittsburgh Pirates,1.0,0.0,1.0,11.0,7.0,7.0,11.0,8.0,100,0,1,1,1
2026-03-28,Milwaukee Brewers,Chicago White Sox,1.0,0.0,1.0,14.0,2.0,2.0,14.0,24.0,100,0,1,1,1
2026-03-28,Miami Marlins,Colorado Rockies,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,97,0,1,1,1
2026-03-28,Los Angeles Dodgers,Arizona Diamondbacks,1.0,0.0,1.0,8.0,2.0,2.0,8.0,12.0,98,0,1,1,1
